City,Median Age,Male Population,Female Population,Total Population,State
Santa Clara,35.2,63278,62938,126216,CA
Kansas City,33.4,74606,76655,151261,KS
Maple Grove,38.6,31780,36601,68381,MN
Lynchburg,28.7,38614,41198,79812,VA
Las Cruces,32.7,47835,53809,101644,NM
Spring Valley,37.0,96808,97147,193955,NV
Sioux City,34.3,38827,43949,82776,IA
Ellicott City,42.4,34406,36526,70932,MD
Fontana,29.5,100644,106828,207472,CA
Kennewick,32.0,38492,40411,78903,WA
Waukegan,32.3,45514,42833,88347,IL
Eugene,33.4,79071,84377,163448,OR
Hollywood,41.4,75358,74363,149721,FL
Auburn,37.1,36837,39743,76580,WA
Walnut Creek,47.6,31994,36912,68906,CA
San Mateo,39.3,50966,52558,103524,CA
Killeen,29.2,69442,71367,140809,TX
Mount Vernon,38.5,31876,36745,68621,NY
Akron,38.1,96886,100667,197553,OH
Flagstaff,23.9,33224,37093,70317,AZ
Knoxville,33.1,89978,95334,185312,TN
Davenport,35.2,50123,52454,102577,IA
Wichita,34.6,192354,197601,389955,KS
South Bend,32.4,50483,53274,103757,IN
Livonia,47.4,45369,49264,94633,MI
Bloomington,40.9,43318,43118,86436,MN
West Jordan,30.8,57898,54044,111942,UT
Beaumont,31.6,57326,60784,118110,TX
Phoenix,33.8,786833,776168,1563001,AZ
Torrance,41.2,73209,75259,148468,CA
Loveland,37.6,37042,38146,75188,CO
Buena Park,35.7,41593,41671,83264,CA
McKinney,35.6,77339,85548,162887,TX
Temecula,34.2,54407,57619,112026,CA
New Bedford,38.6,43793,51166,94959,MA
Toledo,36.1,135455,144323,279778,OH
Avondale,29.1,38712,41971,80683,AZ
Brooklyn Park,35.1,37845,41305,79150,MN
Inglewood,34.9,52995,58661,111656,CA
Chicago,34.2,1320015,1400541,2720556,IL
Boca Raton,47.3,44760,48466,93226,FL
Overland Park,38.2,93355,93156,186511,KS
Oshkosh,33.0,32905,33652,66557,WI
Fort Myers,37.3,36850,37165,74015,FL
Ontario,31.0,85059,86141,171200,CA
Pasadena,37.6,67712,74534,142246,CA
Saint George,37.3,38732,41475,80207,UT
Indio,35.9,43803,43723,87526,CA
Farmington Hills,42.1,37527,43805,81332,MI
Baldwin Park,35.8,38747,38309,77056,CA
Bellevue,37.4,70763,69051,139814,WA
Gary,38.1,35876,41478,77354,IN
Dayton,32.8,66631,73966,140597,OH
Laguna Niguel,45.8,30193,35619,65812,CA
Syracuse,30.3,69462,74690,144152,NY
Indianapolis,34.1,410615,437808,848423,IN
San Jose,36.5,518317,508602,1026919,CA
Topeka,37.1,60879,66378,127257,KS
Arvada,41.0,54870,60165,115035,CO
Fishers,34.5,42161,43910,86071,IN
Victoria,35.8,32290,35291,67581,TX
Des Moines,34.5,103726,106591,210317,IA
Santa Maria,30.1,53320,51762,105082,CA
Bolingbrook,33.7,36295,35801,72096,IL
Bloomington,23.5,40588,43227,83815,IN
Palm Bay,40.7,51767,56128,107895,FL
The Villages,70.5,39295,33295,72590,FL
Oxnard,31.0,101906,105346,207252,CA
West Valley City,30.7,68235,67989,136224,UT
Appleton,35.6,37217,38038,75255,WI
Gastonia,36.9,35527,39023,74550,NC
Deltona,39.9,44853,43621,88474,FL
North Charleston,30.7,56549,55315,111864,SC
Carrollton,36.9,66928,66218,133146,TX
Woodbury,37.7,31982,35868,67850,MN
Merced,29.7,40048,42392,82440,CA
Greenville,26.2,39897,50691,90588,NC
Salt Lake City,32.1,98364,94296,192660,UT
Westminster,42.9,45538,46573,92111,CA
Yonkers,38.0,96580,104538,201118,NY
Lincoln,32.3,138544,138802,277346,NE
Bayonne,39.7,32705,33598,66303,NJ
Homestead,31.4,31401,35099,66500,FL
Jackson,35.3,30007,36973,66980,TN
Camarillo,40.8,31941,35682,67623,CA
Clarksville,29.7,75029,74161,149190,TN
Franklin,38.3,34991,37644,72635,TN
Lafayette,31.7,64018,63643,127661,LA
Santa Fe,44.1,40601,43511,84112,NM
Little Rock,36.6,96997,100989,197986,AR
Plano,38.1,138565,145054,283619,TX
Boston,31.8,322149,347320,669469,MA
Lynn,34.8,44598,47861,92459,MA
Tallahassee,26.2,89390,100504,189894,FL
Cambridge,31.5,55421,54981,110402,MA
Skokie,43.4,31382,33437,64819,IL
San Antonio,33.1,721405,748419,1469824,TX
New York,36.0,4081698,4468707,8550405,NY
Simi Valley,39.0,63243,63523,126766,CA
Winston-Salem,34.7,112520,128712,241232,NC
Rock Hill,34.5,33324,38243,71567,SC
Modesto,35.2,104852,106405,211257,CA
Dallas,32.6,639019,661063,1300082,TX
Portland,40.3,31480,35392,66872,ME
Hesperia,29.4,43588,49698,93286,CA
East Los Angeles,32.6,60460,59206,119666,CA
Cary,39.9,78932,81582,160514,NC
Whittier,36.1,44397,43039,87436,CA
Parma,40.8,38425,41518,79943,OH
Lauderhill,35.7,32813,38761,71574,FL
Huntington Beach,41.6,99967,101960,201927,CA
Carmel,39.9,42928,46101,89029,IN
Bakersfield,30.6,182154,191473,373627,CA
Bellingham,30.7,41286,43857,85143,WA
Saint Cloud,30.7,34311,33942,68253,MN
Delray Beach,47.9,32219,34042,66261,FL
Albany,32.8,47627,50825,98452,NY
West Palm Beach,39.6,49262,57520,106782,FL
Clovis,37.8,52392,51780,104172,CA
Seattle,35.5,345659,338784,684443,WA
Livermore,36.7,41522,46595,88117,CA
Suffolk,38.2,43048,45113,88161,VA
Omaha,34.2,218789,225098,443887,NE
El Paso,33.1,332797,348339,681136,TX
Riverview,32.2,44210,45536,89746,FL
Norwalk,42.4,40880,47603,88483,CT
Renton,36.3,52779,47468,100247,WA
Framingham,40.3,35442,35768,71210,MA
Waco,29.3,63452,68890,132342,TX
Fort Worth,32.6,414126,422843,836969,TX
Spokane,36.6,102756,110511,213267,WA
Scottsdale,46.9,115712,121132,236844,AZ
Centreville,36.0,34749,37033,71782,VA
Urban Honolulu,41.4,176807,175959,352766,HI
Independence,38.6,54348,62907,117255,MO
Cranston,39.9,38365,42712,81077,RI
Peoria,36.9,80139,91103,171242,AZ
Nashua,38.3,42926,45049,87975,NH
Fall River,39.3,43314,45456,88770,MA
Yuba City,34.5,33654,33290,66944,CA
Tuscaloosa,29.1,47293,51045,98338,AL
Palatine,38.0,36506,32763,69269,IL
San Angelo,32.8,49669,50744,100413,TX
Murfreesboro,30.2,60704,65417,126121,TN
Napa,37.2,39828,40601,80429,CA
Bk,37.0,50405,54909,105314,CA
Olathe,33.0,65046,69270,134316,KS
Nampa,31.4,45651,44199,89850,ID
Hialeah,43.0,111530,125552,237082,FL
San Clemente,45.2,34076,31456,65532,CA
Cheektowaga,40.7,37476,38599,76075,NY
Salem,35.4,80839,83704,164543,OR
Pasadena,31.5,78827,74959,153786,TX
Lowell,33.4,54422,56298,110720,MA
Glen Burnie,36.5,33398,36461,69859,MD
Ogden,31.3,44323,41127,85450,UT
Clifton,38.5,41932,44409,86341,NJ
Plymouth,38.4,39035,36893,75928,MN
Hemet,36.8,38622,45251,83873,CA
Toms River,43.7,43864,43886,87750,NJ
Dale City,33.4,35984,35415,71399,VA
Fort Collins,29.6,80893,80288,161181,CO
Yorba Linda,45.5,31960,36006,67966,CA
Hayward,34.3,78152,80148,158300,CA
Dearborn,33.5,46482,48698,95180,MI
Ann Arbor,28.1,58789,58281,117070,MI
Bayamón,39.4,80128,90131,170259,PR
Hammond,36.0,38923,38687,77610,IN
Port Saint Lucie,42.1,84069,95341,179410,FL
Bossier City,32.7,33428,34669,68097,LA
Salinas,30.4,77765,79621,157386,CA
Asheville,37.9,42100,46407,88507,NC
Washington,33.8,319705,352523,672228,DC
Temple,33.6,33512,38785,72297,TX
Union City,38.5,38599,35911,74510,CA
Lakeland,38.1,47840,56570,104410,FL
Eau Claire,32.0,32327,35106,67433,WI
Sterling Heights,39.6,64985,67077,132062,MI
College Station,22.9,54125,53774,107899,TX
Canton,33.4,34476,37419,71895,OH
Rockford,36.3,71076,78270,149346,IL
Somerville,31.0,41028,39306,80334,MA
Miami Beach,42.5,48090,44221,92311,FL
Southfield,41.6,31369,41808,73177,MI
